time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,macd_signal,macd_hist,ema50,ema200,atr,adx,plus_di,minus_di,ema50_slope,recent_high_20,recent_low_20,session_score,trend_score,h1_struct_trend,is_swing_high,is_swing_low,last_swing_high,last_swing_low,prev_swing_high,prev_swing_low,known_last_swing_high,known_prev_swing_high,known_last_swing_low,known_prev_swing_low,struct_hh,struct_lh,struct_hl,struct_ll,struct_trend,struct_strength,distance_to_last_HH,distance_to_last_LL,distance_to_breakout_level,high_prev_day,low_prev_day,sweep_daily_high,sweep_daily_low,bearish_wick_ratio,bullish_wick_ratio,rejection_dist_daily_high,rejection_dist_daily_low,sweep_strength_daily_high,sweep_strength_daily_low,swing_high_50,swing_low_50,sweep_swing_high_50,sweep_swing_low_50,range_position_pct,is_premium_zone,is_discount_zone,is_equilibrium_zone,buy_edge_score,sell_edge_score,buy_edge_reason,sell_edge_reason,atr_sma_50,atr_expansion,vol_percentile,sweep_density_50,market_regime,target_sell,session,volatility_bucket,xgb_prob,window_idx,context,theoretical_pnl,risk_multiplier,adjusted_pnl,shadow_pnl,real_pnl,opportunity_cost,saved_loss
2025-11-13 10:20:00,4238.085,4240.261,4236.495,4238.615,1101,160,0,62.77627957151524,3.0126928533436512,2.949694047120845,0.0629988062228061,4226.330289936222,4202.009567577082,4.236613069712306,19.648599589488217,24.853314129817605,14.43894312505481,5.421859410385351,4240.261,4224.944,0.78769218296037,0.0841977602447669,1,True,False,4240.261,4224.944,4239.454,4212.46,4239.454,4239.515,4224.944,4212.46,False,True,True,False,CHOPPY,0,0.0197942016436959,0.3225346015148667,0.0,4211.822,4098.895,False,False,0.4370685077005863,0.4221986192246206,0.0,0.0,0.0,0.0,4239.515,4203.257,True,False,97.09920166364022,True,False,False,10.870239500907935,89.12976049909207,BUY_EDGE\nLiquidity: +0\nDiscount: +0\nStructure: +10\nTotal: 10,SELL_EDGE\nLiquidity: +50\nPremium: +29\nStructure: +10\nTotal: 89,4.305184980119657,0.984072249692389,0.3762773729709156,3.0,CHOPPY_TREND,1,London,LOW,0.59316003,8,London + CHOPPY_TREND,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2025-11-16 23:05:00,4077.912,4104.848,4077.548,4099.412,3220,160,0,62.23353152694517,-0.7755201671297982,-2.112389760763829,1.336869593634031,4088.0658485736535,4115.823740787913,7.333592727955102,15.55251334836193,22.307232469695936,21.84891984687112,-0.7628059722419664,4104.848,4071.875,-1.4232874180643769,-1.6549519688125662,-1,False,False,4092.312,4071.875,4095.752,4075.318,4092.312,4095.752,4075.318,4089.717,False,True,False,True,DOWNTREND,0,-0.173195570486703,0.5877428275079463,-0.2364973318124688,4211.571,4032.194,False,False,0.1991208791208666,0.0133333333333344,0.0,0.0,0.0,0.0,4103.704,4071.875,True,False,85.06669366473449,True,False,False,4.479991900579655,95.52000809942037,BUY_EDGE\nLiquidity: +0\nDiscount: +4\nStructure: +0\nTotal: 4,SELL_EDGE\nLiquidity: +50\nPremium: +25\nStructure: +20\nTotal: 95,6.289189528848729,1.1660632412411165,0.4195837248354262,3.0,CHOPPY_TREND,1,Asia,LOW,0.55655503,8,Asia + CHOPPY_TREND,1.5,0.6,0.8999999999999999,1.5,0.8999999999999999,0.6000000000000001,0.0
2025-11-16 23:20:00,4097.554,4106.784,4096.685,4104.143,2081,160,0,64.738665308943,2.3732519083755506,-0.3556728532299913,2.728924761605542,4089.455164550903,4115.364948116955,7.55375336126724,13.559200520786854,21.50659690920616,16.983606093242226,1.9199349805810395,4106.784,4071.875,-0.9484278623642745,-0.3900105860960232,-1,True,False,4106.784,4071.875,4092.312,4075.318,4092.312,4095.752,4075.318,4089.717,False,True,False,True,DOWNTREND,0,-0.2882696826109648,0.702339075417202,-0.3514984736155619,4211.571,4032.194,False,False,0.2615110406970806,0.0860481235765671,0.0,0.0,0.0,0.0,4104.848,4071.875,True,False,91.0539370776274,True,False,False,2.6838188767117765,97.31618112328825,BUY_EDGE\nLiquidity: +0\nDiscount: +2\nStructure: +0\nTotal: 2,SELL_EDGE\nLiquidity: +50\nPremium: +27\nStructure: +20\nTotal: 97,6.253839436909857,1.207858538144983,0.4439866097748724,4.0,CHOPPY_TREND,1,Asia,LOW,0.55249673,8,Asia + CHOPPY_TREND,1.5,0.6,0.8999999999999999,1.5,0.8999999999999999,0.6000000000000001,0.0
2025-11-17 08:10:00,4094.292,4095.987,4089.63,4090.161,1828,160,0,68.70529240766506,6.021290787116413,4.182553082676476,1.8387377044399376,4076.790529494106,4091.8675898555375,4.5724837877564335,38.13527440858838,36.0458787075612,7.95981643927058,6.481510079531412,4095.987,4064.893,-0.583927245301259,-1.3741407280018536,-1,True,False,4095.987,4049.643,4085.247,4070.05,4085.247,4088.0,4049.643,4070.05,False,True,False,True,DOWNTREND,0,-0.1201419699615788,0.9906211515879212,-0.491692136324215,4106.784,4071.875,False,False,0.266635205285539,0.0835299669655421,0.0,0.0,0.0,0.0,4095.01,4049.643,True,False,77.27576144794315,True,False,False,6.817271565617053,93.18272843438297,BUY_EDGE\nLiquidity: +0\nDiscount: +6\nStructure: +0\nTotal: 6,SELL_EDGE\nLiquidity: +50\nPremium: +23\nStructure: +20\nTotal: 93,4.882748407133277,0.9364569716801238,0.1135388940258417,3.0,NORMAL,1,London,LOW,0.60324377,8,London + NORMAL,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2025-11-18 14:40:00,4077.676,4082.018,4072.351,4073.264,3709,160,0,61.88285179702691,8.67014158663278,8.33129179410901,0.3388497925237708,4053.761493020215,4042.23367049766,6.596051149979415,41.82067552504292,27.741102062988933,11.152025183543726,7.354552612628953,4082.018,4038.759,2.627704144351022,0.2219208303030565,-1,True,False,4082.018,4029.089,4050.289,4037.482,4050.289,4050.503,4029.089,4037.482,False,True,False,True,DOWNTREND,0,-0.5640439706338678,1.08451109478787,-0.878460124362186,4102.076,4006.827,False,False,0.4491569256232684,0.094445019137273,0.0,0.0,0.0,0.0,4080.582,4029.089,True,False,89.57621366737727,True,False,False,3.1271358997868197,96.87286410021318,BUY_EDGE\nLiquidity: +0\nDiscount: +3\nStructure: +0\nTotal: 3,SELL_EDGE\nLiquidity: +50\nPremium: +26\nStructure: +20\nTotal: 96,5.222484275426482,1.2630102458619186,0.6642048803126079,7.0,EXPANDING,1,NY,LOW,0.5666341,8,NY + EXPANDING,1.5,0.85,1.275,1.5,1.275,0.2250000000000001,0.0
2025-11-19 12:10:00,4116.409,4119.881,4115.916,4115.916,1159,160,0,61.42060589024809,3.1682907360700483,3.580167282659187,-0.4118765465891387,4105.132145969547,4084.823413570727,3.945993633013006,37.387818311142105,27.438603300739807,12.013115523625691,5.662125955921896,4119.881,4106.488,-1.139358530667091,0.1782466335273053,1,True,False,4119.881,4109.886,4117.604,4106.488,4117.604,4119.173,4109.886,4106.488,False,True,True,False,CHOPPY,0,0.0410115269602222,0.1465044476126273,0.0,4082.273,3998.037,False,False,0.8756620428752925,0.0,0.0,0.0,0.0,0.0,4119.173,4078.212,True,False,92.85263632266764,True,False,False,12.144209103199708,87.8557908968003,BUY_EDGE\nLiquidity: +0\nDiscount: +2\nStructure: +10\nTotal: 12,SELL_EDGE\nLiquidity: +50\nPremium: +27\nStructure: +10\nTotal: 87,4.285080609974624,0.9208680048881288,0.1894181783100856,3.0,NORMAL,1,London,LOW,0.5822971,8,London + NORMAL,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2025-11-19 15:15:00,4129.776,4132.686,4127.168,4129.413,3495,160,0,65.11495467570165,4.325384588545603,2.4395125983211177,1.8858719902244852,4113.474368424326,4094.072799563727,6.407657654852698,16.6828001502314,28.255986022229703,16.520655637508565,5.018465740209322,4132.686,4101.844,0.6310277653957367,-0.4121343297312803,1,True,False,4132.686,4101.844,4118.792,4100.716,4118.792,4120.01,4101.844,4100.716,False,True,True,False,CHOPPY,0,-0.2572036267624281,0.6676251564084171,0.0,4082.273,3998.037,False,False,0.5273649873142151,0.4068503080826167,0.0,0.0,0.0,0.0,4130.341,4100.716,True,False,93.99162903403428,True,False,False,11.802511289789717,88.19748871021028,BUY_EDGE\nLiquidity: +0\nDiscount: +1\nStructure: +10\nTotal: 11,SELL_EDGE\nLiquidity: +50\nPremium: +28\nStructure: +10\nTotal: 88,4.812632951054915,1.3314245484099787,0.6251286708703034,4.0,CHOPPY_TREND,1,NY,LOW,0.55034405,8,NY + CHOPPY_TREND,1.5,0.6,0.8999999999999999,1.5,0.8999999999999999,0.6000000000000001,0.0
2025-11-20 12:50:00,4078.271,4080.891,4077.75,4079.34,1700,160,0,65.68952585466342,4.6530783825119215,3.3246782457905235,1.328400136721398,4066.005133613249,4071.8075474218,5.187056163735561,32.394122606447084,31.53263994122305,8.884735888794747,4.827026078478408,4080.891,4051.246,-0.6622149802868192,0.0534474584591776,-1,False,False,4079.48,4051.246,4068.997,4058.119,4079.48,4068.997,4051.246,4058.119,True,False,False,True,CHOPPY,0,0.0034319277137937,0.6886898370814899,0.0,4132.686,4055.572,False,False,0.4937917860553623,0.1658707418020289,0.0,0.0,0.0,0.0,4079.48,4050.547,True,False,96.32342483288312,True,False,False,11.102972550135064,88.89702744986494,BUY_EDGE\nLiquidity: +0\nDiscount: +1\nStructure: +10\nTotal: 11,SELL_EDGE\nLiquidity: +50\nPremium: +28\nStructure: +10\nTotal: 88,5.791188254028015,0.8956808059610332,0.3719907083317028,3.0,NORMAL,1,London,LOW,0.59316003,8,London + NORMAL,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2025-11-20 13:35:00,4074.766,4096.505,4074.511,4092.889,6196,160,0,64.12252647773498,6.016814183156384,5.896698981485539,0.1201152016708455,4072.315583994452,4073.10712452696,7.994976055041055,39.04025697411571,25.034144826489825,21.322850968974336,3.8446092911975,4096.505,4060.084,0.5849426972441562,0.9130453586491496,-1,True,False,4096.505,4067.087,4094.621,4051.246,4094.621,4079.48,4051.246,4058.119,True,False,False,True,CHOPPY,0,0.0423172971463426,1.0174475779822034,0.0,4132.686,4055.572,False,False,0.1644084750386451,0.0115940711103076,0.0,0.0,0.0,0.0,4094.621,4051.246,True,False,93.74394463667824,True,False,False,11.876816608996524,88.12318339100348,BUY_EDGE\nLiquidity: +0\nDiscount: +1\nStructure: +10\nTotal: 11,SELL_EDGE\nLiquidity: +50\nPremium: +28\nStructure: +10\nTotal: 88,5.64038970127074,1.4174510055258047,0.823922953522212,4.0,EXPANDING,1,NY,LOW,0.5200662,8,NY + EXPANDING,1.5,0.85,1.275,1.5,1.275,0.2250000000000001,0.0
2025-11-26 06:10:00,4160.081,4160.515,4156.972,4157.571,1094,160,0,37.64492054136447,-0.1988909344827334,0.6023885433994798,-0.8012794778822132,4159.4258394788685,4145.990245330127,3.302022267304434,15.350075771696725,14.048134896828682,23.85142717183652,0.818706140030805,4168.638,4156.972,-0.2378948481982369,1.5799587413974752,1,False,False,4168.638,4156.505,4169.421,4134.75,4168.638,4169.421,4156.505,4134.75,False,True,True,False,CHOPPY,0,0.2661890801143265,0.0256399710311574,0.0,4159.414,4109.156,True,False,0.1224950606830725,0.1690657634772969,1.8429999999998472,0.0,0.225758396838884,0.0,4169.421,4147.303,False,False,71.61404685478767,False,False,True,18.5157859435637,81.4842140564363,BUY_EDGE\nLiquidity: +0\nDiscount: +8\nStructure: +10\nTotal: 18,SELL_EDGE\nLiquidity: +50\nPremium: +21\nStructure: +10\nTotal: 81,3.5798360712062927,0.9223948249868774,0.1248780118844941,4.0,CHOPPY_TREND,1,Asia,LOW,0.5678895,8,Asia + CHOPPY_TREND,1.5,0.6,0.8999999999999999,1.5,0.8999999999999999,0.6000000000000001,0.0
2025-11-26 06:25:00,4159.485,4160.261,4157.345,4158.258,1306,160,0,42.632157447196136,-0.8369189960549193,-0.0526704037822154,-0.7842485922727038,4159.2561409778245,4146.342335391971,3.41977730366908,18.21748924270351,15.664412920310545,25.63226363983313,-0.6547747005794113,4168.638,4152.978,0.7172821336886283,-0.0915366908090009,1,False,False,4168.638,4156.505,4169.421,4134.75,4168.638,4169.421,4156.505,4134.75,False,True,True,False,CHOPPY,0,0.2496237607190345,0.0421570763526385,0.0,4159.414,4109.156,True,False,0.2661179698219152,0.313100137174041,1.155999999999949,0.0,0.3076323731141205,0.0,4169.421,4150.318,False,False,72.17319772659171,False,False,True,18.34804068202249,81.65195931797751,BUY_EDGE\nLiquidity: +0\nDiscount: +8\nStructure: +10\nTotal: 18,SELL_EDGE\nLiquidity: +50\nPremium: +21\nStructure: +10\nTotal: 81,3.5741120438922165,0.9568187176885802,0.1503515071868568,4.0,CHOPPY_TREND,1,Asia,LOW,0.56361234,8,Asia + CHOPPY_TREND,1.5,0.6,0.8999999999999999,1.5,0.8999999999999999,0.6000000000000001,0.0
2025-11-26 11:40:00,4172.229,4172.648,4170.302,4171.111,1066,160,0,66.47179783618404,2.262939586471475,0.9469016796283836,1.3160379068430916,4161.702647356424,4152.863260072707,3.2991525116442486,17.430224528942038,31.474290111659965,14.9361411634275,4.833809290807657,4172.648,4156.121,0.3952000951340835,-0.92925236642195,0,False,False,4165.212,4156.121,4168.596,4157.723,4165.212,4168.596,4156.121,4157.723,False,True,False,True,DOWNTREND,0,-0.1414251502776942,0.3593766744639445,-0.3209696409421835,4159.414,4109.156,False,False,0.1786018755327311,0.3448422847399993,0.0,0.0,0.0,0.0,4172.626,4151.018,True,False,94.09323238922302,True,False,False,1.772030283233096,98.2279697167669,BUY_EDGE\nLiquidity: +0\nDiscount: +1\nStructure: +0\nTotal: 1,SELL_EDGE\nLiquidity: +50\nPremium: +28\nStructure: +20\nTotal: 98,3.612711589953459,0.9132067225918644,0.1242572086510571,1.0,NORMAL,1,London,LOW,0.5789192,8,London + NORMAL,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2025-11-26 11:55:00,4167.155,4173.161,4166.914,4171.556,1246,160,0,63.51167720388992,2.436268353806554,1.597941363219311,0.838326990587243,4162.481094170688,4153.32654885146,3.6213874154819305,17.533262949640736,30.717205722552883,18.0765354817071,4.436304756502135,4173.161,4156.121,1.77326552204709,3.925684219322489,0,False,False,4165.212,4156.121,4168.596,4157.723,4165.212,4168.596,4156.121,4157.723,False,True,False,True,DOWNTREND,0,-0.1520775461242553,0.3700058203701327,-0.3316028839118936,4159.414,4109.156,False,False,0.2569233231951971,0.0385785176884863,0.0,0.0,0.0,0.0,4172.648,4154.696,True,False,93.95115700610351,True,False,False,1.8146528981689456,98.18534710183106,BUY_EDGE\nLiquidity: +0\nDiscount: +1\nStructure: +0\nTotal: 1,SELL_EDGE\nLiquidity: +50\nPremium: +28\nStructure: +20\nTotal: 98,3.615320686271051,1.001678060879147,0.1939650492885294,2.0,CHOPPY_TREND,1,London,LOW,0.5847677,8,London + CHOPPY_TREND,1.5,0.0,0.0,1.5,0.0,1.5,0.0
