candidate_probability,market_score,session,market_regime,volatility_bucket,direction,memory_confidence,memory_pf,memory_matches,is_win
0.527768,87.65098877605475,0,3,0,0,0.0,0.0,0.0,1
0.5313031,87.51170046801904,0,3,0,0,0.0,0.0,0.0,1
0.5310819,81.64488854727145,0,0,0,0,0.0,0.0,0.0,1
0.6050958,80.87402343749932,0,3,0,0,0.0,0.0,0.0,0
0.6050958,81.90673828124987,0,3,0,0,0.0,0.0,0.0,0
0.6050958,84.02343749999977,0,3,0,0,0.0,0.0,0.0,0
0.6050958,85.18066406249906,0,3,0,0,0.0,0.0,0.0,0
0.5987939,86.35253906249966,0,3,0,0,0.0,0.0,0.0,1
0.5198244,89.16828793774361,1,2,0,0,0.0,0.0,0.0,0
0.5184245,88.53682896379466,1,2,0,0,0.0,0.0,0.0,0
0.5184245,88.39451282329325,1,3,0,0,0.0,0.0,0.0,1
0.64512646,84.73084762019047,1,0,0,0,0.0,0.0,0.0,0
0.5793206,85.12028954651838,1,3,0,0,0.0,0.0,0.0,0
0.5965759,87.14842105263223,1,3,0,0,0.0,0.0,0.0,0
0.52834916,87.33240997229987,1,3,0,0,0.0,0.0,0.0,1
0.5888485,87.269519188355,0,0,0,0,0.0,0.0,0.0,1
0.6011455,87.76985956822502,0,3,0,0,0.0,0.0,0.0,1
0.55262357,93.05535390199654,2,1,0,0,0.0,0.0,0.0,1
0.60949033,84.66137319009708,1,0,0,0,0.0,0.0,0.0,0
0.63358116,83.64350274114737,1,3,0,0,0.0,0.0,0.0,0
0.6109352,86.4601508206427,1,3,0,0,0.0,0.0,0.0,0
0.6179902,96.4432245015886,0,0,0,0,0.0,0.0,0.0,1
0.59354675,95.12374812938936,0,2,0,0,0.0,0.0,0.0,1
0.60116935,87.77317256970736,0,3,0,0,0.0,0.0,0.0,0
0.519917,87.46223564954752,0,3,0,0,0.0,0.0,0.0,1
0.607788,87.43389423076852,0,0,0,0,0.0,0.0,0.0,1
0.607788,86.76535307061299,0,0,0,0,0.0,0.0,0.0,1
0.5528034,87.97988826815646,1,0,0,0,0.0,0.0,0.0,1
0.5389122,88.63978764617251,1,0,0,0,0.0,0.0,0.0,1
0.5565524,88.1103466702296,1,0,0,0,0.0,0.0,0.0,1
0.5528034,86.07240665286213,1,3,0,0,0.0,0.0,0.0,1
0.62385315,89.09797907881048,0,3,0,0,0.0,0.0,0.0,0
0.54665184,93.35620437956194,1,3,0,0,0.0,0.0,0.0,0
0.5586944,92.32700729927043,1,0,0,0,0.0,0.0,0.0,0
0.54287803,80.25224116716453,0,3,0,0,0.0,0.0,0.0,1
0.52913314,87.72204114891018,1,2,0,0,0.0,0.0,0.0,0
0.5617983,88.84824941983658,1,2,0,0,0.0,0.0,0.0,1
0.5963408,86.84661084342943,1,2,0,0,0.0,0.0,0.0,1
0.5504497,88.00563224227868,1,3,0,0,0.0,0.0,0.0,1
0.5446367,87.32728764126878,1,3,0,0,0.0,0.0,0.0,1
0.53316087,88.06213017751466,1,2,0,0,0.0,0.0,0.0,1
0.5766186,84.59227467811138,1,2,0,0,0.0,0.0,0.0,1
0.5630957,82.52875486218589,2,2,0,0,0.0,0.0,0.0,1
0.5667,89.00740286477742,2,2,0,0,0.0,0.0,0.0,1
0.532291,88.09291918926023,2,0,0,0,0.0,0.0,0.0,0
0.52269757,86.1037871105361,2,0,0,0,0.0,0.0,0.0,0
0.52446055,88.0713287437235,1,2,0,0,0.0,0.0,0.0,0
0.52824444,88.32697141793147,1,2,0,0,0.0,0.0,0.0,0
0.5428366,89.59724950884033,0,3,0,0,0.0,0.0,0.0,0
0.579421,81.3025848960971,1,0,0,0,0.0,0.0,0.0,0
0.54118174,84.44162865348883,1,3,0,0,0.0,0.0,0.0,1
0.5526197,84.14568621430769,1,3,0,0,0.0,0.0,0.0,1
0.567798,89.27792182378526,2,0,0,0,0.0,0.0,0.0,0
0.5415964,87.6966487842266,1,0,0,0,0.0,0.0,0.0,1
0.5415964,88.398133748056,1,0,0,0,0.0,0.0,0.0,1
0.53782594,84.83574546289894,1,0,0,0,0.0,0.0,0.0,0
0.5335119,81.67812166488795,1,3,0,0,0.0,0.0,0.0,0
0.5694466,99.46375860937997,1,0,0,0,0.0,0.0,0.0,1
0.5622606,99.3873058578944,1,0,0,0,0.0,0.0,0.0,1
0.6002642,89.30789924186867,1,0,0,0,0.0,0.0,0.0,1
0.6002642,88.8128606760101,1,0,0,0,0.0,0.0,0.0,1
0.611519,86.49955634427701,1,3,0,0,0.0,0.0,0.0,0
0.64744955,88.14477130767703,1,3,0,0,0.0,0.0,0.0,1
0.66131526,85.13643491897577,1,0,0,0,0.0,0.0,0.0,1
0.6286058,85.73706220595929,1,0,0,0,0.0,0.0,0.0,1
0.5238577,97.8341895289104,1,3,0,0,0.0,0.0,0.0,0
0.5238577,97.1816591977264,1,3,0,0,0.0,0.0,0.0,0
0.5327671,85.90029797095983,2,1,0,0,0.0,0.0,0.0,1
0.5327671,85.76266376578587,2,1,0,0,0.0,0.0,0.0,1
0.5415964,86.29298901894586,1,0,0,0,0.0,0.0,0.0,0
0.5625677,83.34666516448866,1,3,0,0,0.0,0.0,0.0,1
0.5213706,80.56495704243672,0,0,0,0,0.0,0.0,0.0,1
0.55827874,85.2874170187084,1,0,0,0,0.0,0.0,0.0,0
0.57576126,85.94824984912461,1,0,0,0,0.0,0.0,0.0,0
0.54322207,91.36164755582396,1,0,0,0,0.0,0.0,0.0,0
0.5677766,92.19674109837,1,3,0,0,0.0,0.0,0.0,0
0.5787999,96.0123717561856,1,3,0,0,0.0,0.0,0.0,1
0.5268181,88.99354591347672,0,3,0,0,0.0,0.0,0.0,1
0.55094516,86.83025130393554,1,3,0,0,0.0,0.0,0.0,0
0.5845439,84.65710517639324,1,2,0,0,0.0,0.0,0.0,1
0.5222615,89.34811295856349,1,3,0,0,0.0,0.0,0.0,0
0.5469973,90.76621146455103,1,0,0,0,0.0,0.0,0.0,1
0.5520223,93.44115769312634,1,0,0,0,0.0,0.0,0.0,0
0.5313201,88.70934797178698,2,0,0,0,0.0,0.0,0.0,0
0.51553535,88.56751744237367,2,0,0,0,0.0,0.0,0.0,1
0.61517316,88.85396109388233,1,3,0,0,0.0,0.0,0.0,1
0.61517316,88.8712546175953,1,0,0,0,0.0,0.0,0.0,1
0.61517316,89.07418637558098,1,0,0,0,0.0,0.0,0.0,1
0.5927471,88.97581229816117,1,0,0,0,0.0,0.0,0.0,1
0.55773455,89.52832746001631,2,0,0,0,0.0,0.0,0.0,1
0.54294455,94.2649405923037,1,0,0,0,0.0,0.0,0.0,0
0.55459225,85.37594636768202,1,0,0,0,0.0,0.0,0.0,1
0.55459225,84.85407154828665,1,0,0,0,0.0,0.0,0.0,1
0.6018788,82.85272374560913,1,0,0,0,0.0,0.0,0.0,0
0.5788699,88.8301599390708,1,0,0,0,0.0,0.0,0.0,0
0.53959507,82.09247184350906,1,0,0,0,0.0,0.0,0.0,1
0.54856986,94.14102879645586,1,1,0,0,0.0,0.0,0.0,0
0.54856986,96.66023166023162,1,1,0,0,0.0,0.0,0.0,0
0.5852389,91.17353241312634,1,3,0,0,0.0,0.0,0.0,1
0.54742235,88.58173326414106,1,3,0,0,0.0,0.0,0.0,0
0.6112923,89.01676945817826,1,3,0,0,0.0,0.0,0.0,1
0.6326194,89.43675587666611,1,3,0,0,0.0,0.0,0.0,1
