rolling_window,recovery_trades,disabled_threshold,degraded_multiplier,warning_multiplier,passing_windows,overall_pf,skipped_pct,skipped_trades,mandatory_pass,worst_dd,w6_dd,w8_dd,w10_dd,asia_normal_opp_cost
15,15,0.64,0.6,0.9,5,1.563415308096159,0.42112482853223593,614,False,-11.299999999999997,-10.1,-9.45,-9.100000000000001,90.75
15,15,0.64,0.7,0.85,5,1.5631343889565574,0.42112482853223593,614,False,-11.350000000000016,-9.9,-10.175,-9.299999999999999,90.075
15,15,0.64,0.7,0.9,5,1.558217344753747,0.42112482853223593,614,False,-11.350000000000001,-10.1,-10.2,-9.650000000000002,89.4
15,15,0.5,0.6,0.85,5,1.5792366991027427,0.355281207133059,518,False,-12.500000000000014,-8.9,-8.95,-8.749999999999998,85.95
15,15,0.5,0.6,0.9,4,1.5756554307116104,0.355281207133059,518,False,-12.5,-9.1,-9.0,-9.100000000000001,85.19999999999999
15,15,0.5,0.7,0.85,5,1.5722758958053078,0.355281207133059,518,False,-12.750000000000021,-8.9,-9.55,-9.299999999999999,84.9
15,15,0.5,0.7,0.9,5,1.5688905003625815,0.355281207133059,518,False,-12.750000000000007,-9.1,-9.6,-9.650000000000002,84.15
20,5,0.64,0.6,0.85,7,1.6120393120393117,0.3196159122085048,466,True,-11.874999999999995,-10.875,-10.45,-6.899999999999998,83.25
20,5,0.64,0.6,0.9,7,1.6099324975891995,0.3196159122085048,466,True,-12.049999999999999,-11.15,-10.600000000000001,-7.0,82.2
20,5,0.64,0.7,0.85,7,1.6101573676680976,0.3196159122085048,466,True,-13.274999999999999,-11.075,-10.850000000000001,-7.6000000000000005,81.6
20,5,0.64,0.7,0.9,7,1.6081460674157304,0.3196159122085048,466,True,-13.450000000000001,-11.350000000000001,-11.0,-7.700000000000002,80.55000000000001
20,5,0.5,0.6,0.85,7,1.608010148604567,0.3052126200274348,445,True,-13.924999999999994,-10.875,-9.775,-6.899999999999998,81.975
20,5,0.5,0.6,0.9,7,1.6059995257291912,0.3052126200274348,445,True,-14.149999999999999,-11.15,-9.850000000000001,-7.149999999999995,80.85
20,5,0.5,0.7,0.85,6,1.605675833820948,0.3052126200274348,445,True,-15.524999999999999,-11.075,-10.275,-7.6000000000000005,80.325
20,5,0.5,0.7,0.9,6,1.6037692484486323,0.3052126200274348,445,True,-15.750000000000002,-11.350000000000001,-10.350000000000001,-7.700000000000002,79.2
20,10,0.64,0.6,0.85,7,1.5988253319713994,0.350480109739369,511,True,-13.174999999999997,-10.875,-13.174999999999997,-6.899999999999998,90.15
20,10,0.64,0.6,0.9,7,1.5970411233701105,0.350480109739369,511,True,-13.449999999999998,-11.15,-13.449999999999998,-7.0,89.4
20,10,0.64,0.7,0.85,7,1.5970741383585425,0.350480109739369,511,True,-13.675000000000002,-11.075,-13.675000000000002,-7.6000000000000005,88.80000000000001
20,10,0.64,0.7,0.9,7,1.59537149817296,0.350480109739369,511,True,-13.950000000000003,-11.350000000000001,-13.950000000000003,-7.700000000000002,88.05000000000001
20,10,0.5,0.6,0.85,7,1.603103794923348,0.33676268861454045,491,True,-10.875,-10.875,-10.325,-6.899999999999998,86.32499999999999
20,10,0.5,0.6,0.9,7,1.6018015794669296,0.33676268861454045,491,True,-11.15,-11.15,-10.45,-7.0,85.35
20,10,0.5,0.7,0.85,7,1.6011092150170654,0.33676268861454045,491,True,-11.175,-11.075,-10.775000000000002,-7.6000000000000005,84.975
20,10,0.5,0.7,0.9,7,1.5998802395209581,0.33676268861454045,491,True,-11.350000000000003,-11.350000000000001,-10.9,-7.700000000000002,84.0
20,15,0.64,0.6,0.85,6,1.5902390438247012,0.3765432098765432,549,False,-11.175,-10.875,-10.225000000000001,-6.899999999999998,96.375
20,15,0.64,0.6,0.9,6,1.5880281690140843,0.3765432098765432,549,False,-11.25,-11.15,-10.45,-7.0,95.85
