timestamp,symbol,session,regime,market_score,ml_probability,session_health,risk_multiplier,health_dynamic,health_source,health_note,decision,reasons
2026-06-24 16:55:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 17:00:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 17:05:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 17:10:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 17:15:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 17:20:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 17:25:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 17:30:02,XAUUSDm,NY,RANGING,75.0,0.29704165,0.49006274,0.29704165,0.19302109,-0.19302109,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.297)
2026-06-24 17:35:02,XAUUSDm,NY,RANGING,75.0,0.29844132,0.47541988,0.29844132,0.17697856,-0.17697856,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.298)
2026-06-24 17:40:02,XAUUSDm,NY,RANGING,75.0,0.30427653,0.47541988,0.30427653,0.17114335,-0.17114335,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.304)
2026-06-24 17:45:02,XAUUSDm,NY,RANGING,75.0,0.30300295,0.4732782,0.30300295,0.17027524,-0.17027524,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.303)
2026-06-24 17:50:02,XAUUSDm,NY,RANGING,75.0,0.31807983,0.46952853,0.31807983,0.1514487,-0.1514487,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.318)
2026-06-24 17:55:02,XAUUSDm,NY,RANGING,75.0,0.31858057,0.46952853,0.31858057,0.15094796,-0.15094796,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.319)
